deliberation,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
4/EVALUATED20230604-a1r-nc-session4-o_transcript.csv,1,2,1,0,3,0,0,0,5,1,3,1,9,3,25,40
4/EVALUATED20230604-a1r-nc-session4-g_transcript.csv,6,3,4,1,2,1,0,0,2,0,0,1,3,0,6,20
4/EVALUATED20230604-a1r-yc-session4-h_transcript.csv,4,0,1,0,3,2,0,0,4,0,6,0,5,5,20,35
4/EVALUATED20230604-a1r-yc-session4-g_transcript.csv,3,2,2,0,2,0,1,0,5,0,0,0,3,1,9,16
4/EVALUATED20230604-a1r-nc-session4-h_transcript.csv,3,5,1,0,2,1,0,0,5,1,0,0,2,2,4,10
4/EVALUATED20230604-a1r-nc-session4-a_transcript.csv,2,2,0,0,0,0,0,0,7,3,1,0,3,3,7,19
4/EVALUATED20230604-a1r-yc-session4-n_transcript.csv,0,1,0,1,1,0,0,0,2,0,0,1,0,1,5,10
4/EVALUATED20230604-a1r-yc-session4-f_transcript.csv,4,3,2,0,4,1,0,0,4,0,2,1,1,1,12,27
4/EVALUATED20230604-a1r-nc-session4-i_transcript.csv,2,1,1,0,4,1,0,0,3,0,2,1,1,0,8,19
4/EVALUATED20230604-a1r-nc-session4-f_transcript.csv,4,2,1,0,6,1,0,0,7,1,0,0,2,2,18,42
4/EVALUATED20230604-a1r-yc-session4-i_transcript.csv,1,1,2,0,2,0,0,0,4,2,5,0,3,1,8,26
4/EVALUATED20230604-a1r-yc-session4-a_transcript.csv,3,2,4,1,2,2,0,0,3,0,1,0,4,1,14,25
4/EVALUATED20230604-a1r-nc-session4-n_transcript.csv,0,2,2,0,2,2,1,0,2,0,0,0,0,1,7,18
4/EVALUATED20230604-a1r-yc-session4-k_transcript.csv,3,4,2,0,2,1,0,0,5,0,0,0,3,5,20,29
4/EVALUATED20230615-a1r-nc-session4-p_transcript.csv,3,0,2,2,1,0,0,0,2,2,3,0,2,0,1,16
4/EVALUATED20230604-a1r-nc-session4-d_transcript.csv,5,4,2,1,4,1,1,0,4,0,2,0,6,4,11,30
4/EVALUATED20230604-a1r-nc-session4-l_transcript.csv,3,5,1,0,1,0,0,0,3,0,1,2,1,1,15,26
4/EVALUATED20230604-a1r-yc-session4-c_transcript.csv,7,2,4,0,4,0,1,0,9,1,4,4,3,2,17,51
4/EVALUATED20230604-a1r-yc-session4-l_transcript.csv,9,7,0,0,5,2,2,0,7,2,2,1,2,0,23,38
4/EVALUATED20230604-a1r-nc-session4-c_transcript.csv,1,1,3,1,4,0,0,0,10,1,3,3,3,2,10,18
4/EVALUATED20230604-a1r-nc-session4-k_transcript.csv,3,1,1,0,4,1,0,0,4,0,2,0,6,5,15,22
4/EVALUATED20230604-a1r-yc-session4-d_transcript.csv,5,3,3,0,4,2,1,0,6,1,2,1,4,3,9,30
4/EVALUATED20230604-a1r-nc-session4-j_transcript.csv,3,2,1,0,3,0,0,0,1,0,1,0,2,2,7,17
4/EVALUATED20230604-a1r-yc-session4-e_transcript.csv,5,1,6,1,8,3,0,0,7,0,2,2,2,1,11,33
4/EVALUATED20230604-a1r-yc-session4-m_transcript.csv,1,1,0,0,0,1,1,0,1,0,2,0,1,0,4,6
4/EVALUATED20230604-a1r-nc-session4-b_transcript.csv,3,4,1,0,4,2,0,0,1,0,1,1,1,0,9,20
4/EVALUATED20230604-a1r-nc-session4-m_transcript.csv,4,6,4,0,4,1,0,0,6,0,4,1,3,6,19,45
4/EVALUATED20230604-a1r-yc-session4-b_transcript.csv,5,3,4,2,1,1,1,0,3,0,4,1,3,2,13,28
4/EVALUATED20230604-a1r-yc-session4-j_transcript.csv,4,2,3,0,6,0,0,0,6,0,1,0,3,4,8,26
4/EVALUATED20230604-a1r-nc-session4-e_transcript.csv,1,0,2,0,2,2,0,0,2,1,6,0,2,2,11,22
4/EVALUATED20230615-a1r-yc-session4-b_transcript.csv,4,3,2,0,3,1,0,0,9,0,1,1,2,5,16,37
